STATE_PUMA,CONTAINS
01|||00100,Anderson Town
01|||00100,Cherokee Town
01|||00100,Colbert County
01|||00100,Florence City
01|||00100,Killen Town
01|||00100,Lauderdale County
01|||00100,Leighton Town
01|||00100,Lexington Town
01|||00100,Littleville Town
01|||00100,Muscle Shoals City
01|||00100,Remainder of Colbert County
01|||00100,Remainder of Lauderdale County
01|||00100,Rogersville Town
01|||00100,Sheffield City
01|||00100,St. Florian Town
01|||00100,Tuscumbia City
01|||00100,Underwood-Petersville CDP
01|||00100,Waterloo Town
01|||00200,Huntsville City (part)
01|||00200,Madison County (part)
01|||00300,Ardmore Town
01|||00300,Athens City
01|||00300,Decatur City (part)
01|||00300,Elkmont Town
01|||00300,Gurley Town
01|||00300,Harvest CDP
01|||00300,Hazel Green CDP
01|||00300,Huntsville City (part)
01|||00300,Lester Town
01|||00300,Limestone County
01|||00300,Madison City (part)
01|||00300,Madison County (part)
01|||00300,Meridianville CDP
01|||00300,Moores Mill CDP
01|||00300,Mooresville Town
01|||00300,New Hope City
01|||00300,New Market CDP
01|||00300,Owens Cross Roads Town
01|||00300,Redstone Arsenal CDP
01|||00300,Remainder of Limestone County
01|||00300,Remainder of Madison County
01|||00300,Triana Town
01|||00400,Bridgeport City
01|||00400,Collinsville Town (part)
01|||00400,Crossville Town
01|||00400,DeKalb County
01|||00400,Dutton Town
01|||00400,Fort Payne City
01|||00400,Fyffe Town
01|||00400,Geraldine Town
01|||00400,Hammondville Town
01|||00400,Henagar Town
01|||00400,Hollywood Town
01|||00400,Hytop Town
01|||00400,Ider Town
01|||00400,Jackson County
01|||00400,Lakeview Town
01|||00400,Langston Town
01|||00400,Mentone Town
01|||00400,Paint Rock Town
01|||00400,Pine Ridge Town
01|||00400,Pisgah Town
01|||00400,Pleasant Groves Town
01|||00400,Powell Town
01|||00400,Rainsville City
01|||00400,Remainder of DeKalb County
01|||00400,Remainder of Jackson County
01|||00400,Sand Rock Town (part)
01|||00400,Scottsboro City
01|||00400,Section Town
01|||00400,Shiloh Town
01|||00400,Skyline Town
01|||00400,Stevenson City
01|||00400,Sylvania Town
01|||00400,Valley Head Town
01|||00400,Woodville Town
01|||00500,Addison Town
01|||00500,Albertville City
01|||00500,Arab City (part)
01|||00500,Arley Town
01|||00500,Baileyton Town
01|||00500,Boaz City (part)
01|||00500,Colony Town
01|||00500,Cullman City
01|||00500,Cullman County
01|||00500,Dodge City Town
01|||00500,Double Springs Town
01|||00500,Douglas Town
01|||00500,Fairview Town
01|||00500,Garden City Town (part)
01|||00500,Good Hope Town
01|||00500,Grant Town
01|||00500,Guntersville City
01|||00500,Haleyville City (part)
01|||00500,Hanceville City
01|||00500,Holly Pond Town
01|||00500,Lynn Town
01|||00500,Marshall County
01|||00500,Natural Bridge Town
01|||00500,Nauvoo Town (part)
01|||00500,Remainder of Cullman County
01|||00500,Remainder of Marshall County
01|||00500,Remainder of Winston County
01|||00500,South Vinemont Town
01|||00500,Union Grove Town
01|||00500,West Point Town
01|||00500,Winston County
01|||00600,Courtland Town
01|||00600,Decatur City (part)
01|||00600,Eva Town
01|||00600,Falkville Town
01|||00600,Hartselle City
01|||00600,Hillsboro Town
01|||00600,Lawrence County
01|||00600,Morgan County
01|||00600,Moulton City
01|||00600,North Courtland Town
01|||00600,Priceville Town
01|||00600,Remainder of Lawrence County
01|||00600,Remainder of Morgan County
01|||00600,Somerville Town
01|||00600,Town Creek Town
01|||00600,Trinity Town
01|||00700,Aliceville City
01|||00700,Bear Creek Town
01|||00700,Beaverton Town
01|||00700,Belk Town
01|||00700,Berry Town
01|||00700,Brilliant Town
01|||00700,Carrollton Town
01|||00700,Cuba Town
01|||00700,Detroit Town
01|||00700,Emelle Town
01|||00700,Epes Town
01|||00700,Ethelsville Town
01|||00700,Fayette City
01|||00700,Fayette County
01|||00700,Franklin County
01|||00700,Gainesville Town
01|||00700,Geiger Town
01|||00700,Glen Allen Town (part)
01|||00700,Gordo Town
01|||00700,Guin City
01|||00700,Gu-Win Town (part)
01|||00700,Hackleburg Town
01|||00700,Haleyville City (part)
01|||00700,Hamilton City
01|||00700,Hodges Town
01|||00700,Kennedy Town
01|||00700,Lamar County
01|||00700,Livingston City
01|||00700,Macedonia Town
01|||00700,Marion County
01|||00700,McMullen Town
01|||00700,Memphis Town
01|||00700,Millport Town
01|||00700,Phil Campbell Town
01|||00700,Pickens County
01|||00700,Pickensville Town
01|||00700,Red Bay City
01|||00700,Reform City
01|||00700,Remainder of Fayette County
01|||00700,Remainder of Franklin County
01|||00700,Remainder of Lamar County
